GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
agricultura-familiar,com.es.agriculturafamiliar.enums,TipoEndereco,13,66,3,3,3,12,4,4,1,4
agricultura-familiar,com.es.agriculturafamiliar.enums,TipoProdutor,9,70,1,5,2,13,2,6,1,4
agricultura-familiar,com.es.agriculturafamiliar.exception.handler,ControllerAdvisor,0,22,0,0,0,8,0,2,0,2
agricultura-familiar,com.es.agriculturafamiliar.entity,Notificacao.NotificacaoBuilder,10,35,0,0,0,1,1,6,1,6
agricultura-familiar,com.es.agriculturafamiliar.entity,Email.EmailBuilder,54,0,0,0,1,0,8,0,8,0
agricultura-familiar,com.es.agriculturafamiliar.entity,Email,254,0,46,0,7,0,39,0,16,0
agricultura-familiar,com.es.agriculturafamiliar.entity,Endereco,303,82,70,0,2,20,41,16,6,16
agricultura-familiar,com.es.agriculturafamiliar.entity,Notificacao,172,42,38,0,0,8,25,9,6,9
agricultura-familiar,com.es.agriculturafamiliar.exception,SendMessageException,4,0,0,0,2,0,1,0,1,0
agricultura-familiar,com.es.agriculturafamiliar.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
agricultura-familiar,com.es.agriculturafamiliar.exception,NotImplementedException,3,0,0,0,1,0,1,0,1,0
agricultura-familiar,com.es.agriculturafamiliar.service,EmailMessageService,22,0,0,0,7,0,2,0,2,0
agricultura-familiar,com.es.agriculturafamiliar.service,NotificacaoService,6,53,0,0,1,12,1,6,1,6
agricultura-familiar,com.es.agriculturafamiliar.controller,ProdutorController,8,36,0,0,2,9,1,5,1,5
agricultura-familiar,com.es.agriculturafamiliar.controller,NotificacaoController,0,58,0,0,0,15,0,6,0,6
agricultura-familiar,com.es.agriculturafamiliar.controller,EmailCadastroController,11,9,0,0,2,2,1,2,1,2
agricultura-familiar,com.es.agriculturafamiliar.controller,EnderecoController,8,28,0,0,2,7,1,4,1,4
agricultura-familiar,com.es.agriculturafamiliar.services,EnderecoService,17,30,0,0,4,5,2,5,2,5
agricultura-familiar,com.es.agriculturafamiliar.services,ProdutorService,29,44,0,0,8,7,3,4,3,4
agricultura-familiar,com.es.agriculturafamiliar.services,TipoProducaoService,3,0,0,0,1,0,1,0,1,0
agricultura-familiar,com.es.agriculturafamiliar.entity.produtor,Produtor,592,447,131,45,18,31,99,39,11,39
agricultura-familiar,com.es.agriculturafamiliar.entity.produtor,TipoProducao,174,0,30,0,11,0,27,0,12,0
